min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,tp_multiplier,max_risk_per_pair,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.005,0.6,50,3.0,0.08,2.5,0.025,-0.005251654128334194,-0.3060823488479889,-0.3727586542291467,0.012065098396430617,34,0.2647058823529412,0.7855220535971034,125.23529411764706
0.005,0.6,50,2.0,0.03,2.5,0.02,-0.004676568831215409,-0.30613604211388407,-0.3833946172670236,0.013033719346276118,93,0.3118279569892473,0.9557721846708972,56.54838709677419
0.005,0.6,50,2.0,0.03,2.5,0.01,-0.0023339862154668663,-0.3062247385193796,-0.3834589017561703,0.006536646200411038,93,0.3118279569892473,0.9564274654584995,56.54838709677419
0.005,0.6,20,2.5,0.02,2.0,0.025,-0.005840821659549692,-0.30973653226563025,-0.39305777027890737,0.017552318481920327,85,0.36470588235294116,0.9454956781216662,68.27058823529411
0.01,0.6,20,3.0,0.02,3.0,0.02,-0.004052906573012442,-0.3108325218052138,-0.4031629171842458,0.011149680825182933,38,0.2894736842105263,0.8426873102134046,156.68421052631578
0.02,0.4,20,2.5,0.05,4.0,0.025,-0.004877736725280411,-0.31296071750157595,-0.36877775737479845,0.012114314881344219,31,0.22580645161290322,0.7861645416418044,121.64516129032258
0.01,0.7,20,2.5,0.05,2.0,0.015,-0.0035376006630738264,-0.3130302267485952,-0.3774254761296903,0.010867973506360323,66,0.3484848484848485,0.8875972823683371,74.5
0.005,0.7,50,3.0,0.05,1.5,0.01,-0.0023979059129072993,-0.3132997752723655,-0.383039745027647,0.006350223205386353,68,0.4411764705882353,0.8967140975854734,74.08823529411765
0.005,0.7,20,2.5,0.1,2.5,0.01,-0.0019514892557484563,-0.31644626882312704,-0.3837319260154397,0.0043429776316305495,43,0.27906976744186046,0.8425152956455986,78.90697674418605
0.01,0.6,20,3.0,0.05,3.0,0.015,-0.0034468386243745046,-0.31962550823931557,-0.41066865855699625,0.008609970224444607,46,0.2826086956521739,0.8453079821523876,121.21739130434783
0.005,0.5,20,2.5,0.03,2.0,0.025,-0.006181421843016869,-0.3234056469368355,-0.4021052691843477,0.013724044831291325,78,0.34615384615384615,0.9153650430416053,72.14102564102564
0.02,0.7,20,2.5,0.08,3.0,0.015,-0.002999019227649842,-0.32352124113862274,-0.394687761341011,0.007979440071021275,38,0.23684210526315788,0.815320425081456,90.13157894736842
0.01,0.6,50,2.0,0.05,2.0,0.02,-0.004545591963003244,-0.3257552213118758,-0.4236856350585037,0.010745934988339628,107,0.34579439252336447,0.9848163743246945,41.03738317757009
0.01,0.4,20,2.5,0.02,2.0,0.01,-0.002529320955539006,-0.3260155665066816,-0.3809227747894415,0.006671186436585628,76,0.34210526315789475,0.9070175578510389,76.4342105263158
0.005,0.7,20,2.0,0.1,2.5,0.025,-0.0046709510936781586,-0.32699180450594584,-0.3876534187063181,0.012109970243327824,53,0.3018867924528302,0.8785785428944459,59.84905660377358
0.005,0.7,20,2.0,0.1,2.5,0.015,-0.002802042427982524,-0.32736991806732957,-0.3879949440158572,0.00728353167113613,53,0.3018867924528302,0.8788991575947978,59.84905660377358
0.02,0.6,50,2.0,0.1,4.0,0.015,-0.0026123986584036902,-0.32790495480924703,-0.35990572932188786,0.005489981736391637,32,0.1875,0.7778143124663354,81.59375
0.01,0.6,50,2.5,0.05,1.5,0.01,-0.0023399438186141198,-0.3280972546316346,-0.4111451725409586,0.006116715220183166,100,0.41,0.9706576109960918,45.99
0.01,0.6,50,2.0,0.1,1.5,0.015,-0.002719252532145765,-0.32848934058794504,-0.3895280556449123,0.004738505450102425,85,0.4,0.9866006098912238,28.152941176470588
0.02,0.6,50,2.5,0.03,2.5,0.02,-0.004910798564476572,-0.32941879578111055,-0.3989391876114135,0.01506967267531469,70,0.3,0.9034075289566589,81.58571428571429
0.01,0.6,50,3.0,0.02,3.0,0.02,-0.0043680215880559994,-0.33504111220308197,-0.4339997331465195,0.011177419627222653,39,0.28205128205128205,0.8289399655933171,152.4102564102564
0.005,0.7,50,2.5,0.1,2.0,0.025,-0.0051586662100622195,-0.33609053564947927,-0.410623565621151,0.012005980569418706,45,0.3333333333333333,0.8235422581003338,74.77777777777777
0.005,0.7,50,2.5,0.1,2.0,0.02,-0.004126769540737586,-0.33632721969003093,-0.410866474368854,0.009615392308354134,45,0.3333333333333333,0.8236977944756532,74.77777777777777
